Runs,B/F,Aggr,Avg,50?
28,17,28,28,no
66,37,94,47,yes
0,1,94,31.33,no
7,11,101,25.25,no
34,27,135,27,no
2,5,137,22.83,no
53,54,190,27.14,yes
0,7,190,23.75,no
67,55,257,28.56,yes
1,2,258,25.8,no
7,5,265,24.09,no
59,46,324,27,yes
52,29,376,28.92,yes
5,6,381,27.21,no
18,10,399,26.6,no
17,14,416,26,no
0,4,416,24.47,no
47,46,463,25.72,no
44,38,507,26.68,no
2,2,509,25.45,no
39,30,548,26.1,no
45,60,593,26.95,no
72,56,665,28.91,yes
47,23,712,29.67,no
7,13,719,28.76,no
17,33,736,28.31,no
39,45,775,28.7,no
67,56,842,30.07,yes
19,19,861,29.69,no
0,1,861,28.7,no
5,6,866,27.94,no
11,19,877,27.41,no
29,41,906,27.45,no
21,13,927,27.26,no
18,20,945,27,no
32,20,977,27.14,no
19,26,996,26.92,no
17,17,1013,26.66,no
6,10,1019,26.13,no
8,8,1027,25.68,no
56,49,1083,26.41,yes
0,2,1083,25.79,no
109,94,1192,27.72,yes
10,25,1202,27.32,no
4,4,1206,26.8,no
6,10,1212,26.35,no
26,30,1238,26.34,no
17,22,1255,26.15,no
71,70,1326,27.06,yes
38,33,1364,27.28,no
0,4,1364,26.75,no
16,21,1380,26.54,no
65,61,1445,27.26,yes
41,54,1486,27.52,no
28,36,1514,27.53,no
3,10,1517,27.09,no
5,9,1522,26.7,no
24,41,1546,26.66,no
11,19,1557,26.39,no
7,9,1564,26.07,no
17,22,1581,25.92,no
2,4,1583,25.53,no
6,5,1589,25.22,no
58,50,1647,25.73,yes
4,17,1651,25.4,no
2,9,1653,25.05,no
0,1,1653,24.67,no
12,20,1665,24.49,no
45,48,1710,24.78,no
9,11,1719,24.56,no
41,59,1760,24.79,no
0,1,1760,24.44,no
18,9,1778,24.36,no
0,1,1778,24.03,no
6,17,1784,23.79,no
28,41,1812,23.84,no
26,45,1838,23.87,no
52,48,1890,24.23,yes
69,69,1959,24.8,yes
5,21,1964,24.55,no
19,18,1983,24.48,no
17,23,2000,24.39,no
21,27,2021,24.35,no
13,28,2034,24.21,no
33,23,2067,24.32,no
25,42,2092,24.33,no
61,69,2153,24.75,yes
9,7,2162,24.57,no
65,55,2227,25.02,yes
21,18,2248,24.98,no
70,43,2318,25.47,yes
13,8,2331,25.34,no
10,6,2341,25.17,no
25,24,2366,25.17,no
11,9,2377,25.02,no
30,44,2407,25.07,no
2,17,2409,24.84,no
23,24,2432,24.82,no
67,81,2499,25.24,yes
58,36,2557,25.57,yes
11,7,2568,25.43,no
35,38,2603,25.52,no
7,9,2610,25.34,no
4,15,2614,25.13,no
83,44,2697,25.69,yes
35,51,2732,25.77,no
4,8,2736,25.57,no
5,6,2741,25.38,no
5,11,2746,25.19,no
56,53,2802,25.47,yes
0,5,2802,25.24,no
108,92,2910,26.22,yes
14,9,2924,26.11,no
1,8,2925,25.88,no
40,37,2965,26.01,no
18,18,2983,25.94,no
1,9,2984,25.72,no
6,7,2990,25.56,no
4,12,2994,25.37,no
13,8,3007,25.27,no
16,16,3023,25.19,no
1,8,3024,24.99,no
6,6,3030,24.84,no
80,58,3110,25.28,yes
6,5,3116,25.13,no
3,10,3119,24.95,no
19,14,3138,24.9,no
0,2,3138,24.71,no
17,17,3155,24.65,no
40,23,3195,24.77,no
102,46,3297,25.36,yes
44,23,3341,25.5,no
24,21,3365,25.49,no
12,10,3377,25.39,no
56,30,3433,25.62,yes
6,2,3439,25.47,no
0,4,3439,25.29,no
19,18,3458,25.24,no
2,10,3460,25.07,no
23,27,3483,25.06,no
1,6,3484,24.89,no
32,18,3516,24.94,no
0,4,3516,24.76,no
12,7,3528,24.67,no
15,18,3543,24.6,no
